,product_name,accuracy
0,P242,0.06769287586212158
1,P541,0.09797835350036621
2,P1170,0.8253542184829712
3,P1136,0.5499253869056702
4,P1626,0.17235732078552246
5,P1848,0.0
6,P655,0.17216050624847412
7,P1904,0.5673805475234985
8,P698,0.002737283706665039
9,P1727,0.46757787466049194
10,P774,0.49379533529281616
11,P1902,0.8491681814193726
12,P796,0.39830201864242554
13,P1790,0.7465104460716248
14,P1303,0.5942903757095337
15,P1876,0.21570193767547607
16,P1029,0.4148600101470947
17,P1006,0.7873777151107788
18,P1431,0.0
19,P691,0.15286117792129517
20,P496,0.27630990743637085
21,P1464,0.0
22,P1689,0.0
23,P1327,0.2933511734008789
24,P1664,0.04219865798950195
25,P868,0.02222520112991333
26,P687,0.05330091714859009
27,P301,0.7999277710914612
28,P723,0.11266851425170898
29,P1191,0.16338849067687988
30,P1024,0.7025935649871826
31,P304,0.17202532291412354
32,P547,0.004551947116851807
33,P1388,0.013469338417053223
34,P1391,0.05058622360229492
35,P1590,0.6849423050880432
36,P656,0.1008220911026001
37,P1063,0.0
38,P1140,0.48283618688583374
39,P1290,0.1799936294555664
40,P1582,0.2651088237762451
41,P1760,0.07287216186523438
42,P1029,0.37982088327407837
43,P1151,0.25707560777664185
44,P698,0.0026747584342956543
45,P1590,0.6593487858772278
46,P964,0.8284984827041626
47,P267,0.7131438851356506
48,P1905,0.10514611005783081
49,P963,0.8053104877471924
50,P623,0.5409175157546997
51,P1120,0.0
52,P707,0.15671396255493164
53,P1013,0.8380842208862305
54,P749,0.26390016078948975
55,P1457,0.12849557399749756
56,P1006,0.7788893580436707
57,P1798,0.0
58,P622,0.4476461410522461
59,P617,0.1897086501121521
60,P1222,0.5982169508934021
61,P652,0.0009568333625793457
62,P605,0.7526400089263916
63,P839,0.0
64,P1917,0.2690161466598511
65,P1691,0.4263606667518616
66,P303,0.037650227546691895
67,P287,0.7235616445541382
68,P1259,0.14754658937454224
69,P738,0.1569041609764099
70,P1226,0.1426699161529541
71,P630,0.5854096412658691
72,P792,0.0
73,P1823,0.30898112058639526
74,P690,0.49470728635787964
75,P947,0.352169930934906
76,P1034,0.35351431369781494
77,P916,0.0
78,P1260,0.28106486797332764
79,P1770,0.0
80,P257,0.7710084915161133
81,P1548,0.03842586278915405
82,P1378,0.0
83,P1045,0.007602810859680176
84,P1204,0.0
85,P975,0.42153942584991455
86,P1645,0.8507763147354126
87,P1183,0.46486371755599976
88,P1593,0.5269447565078735
89,P1352,0.0
90,P1215,0.03138977289199829
91,P915,0.0
92,P1217,0.30896061658859253
93,P1767,0.12906622886657715
94,P612,0.17102378606796265
95,P1438,0.0
96,P1248,0.5173009634017944
97,P1710,0.13612133264541626
98,P1874,0.703726053237915
99,P1626,0.17354536056518555
