,product_name,Arima_SMAPE
0,P1140,-43.676591341595326
1,P1202,-85.6479843269017
2,P1225,-46.048651139467154
3,P1344,-75.26619550543177
4,P1440,-97.92707292986717
5,P943,-94.19410745624418
