,product_name,Accuracy_Score,Val_Score,uses_cov
0,P1000,0.7181598465156898,0.7309449185239896,no
1,P1001,0.66489737512588,0.46114309410550125,no
2,P1002,0.8071601645744858,0.7350184150239002,no
3,P1003,0.475114654124535,0.6268764376555609,no
4,P1004,0.7694345870787122,0.6557714451695287,no
5,P1005,0.5711182200142745,0.6830076190418533,no
6,P1006,0.6310478034952074,0.4226677605927973,no
7,P1007,0.5222055691409639,0.2551289015167343,no
8,P1008,0.8787549743592095,0.7443224799423857,no
9,P1009,0.2971323409871418,0.40266584162470587,no
10,P1010,0.9077805061520836,0.8299037643912887,no
11,P1011,0.6108545054450629,0.647679864375166,no
12,P1012,0.4651443340383916,0.5206390909622206,no
13,P1013,0.8158933463583063,0.7196800334594566,no
14,P1014,0.5289226407251084,0.4211914589781717,no
15,P1015,0.8864674663615344,0.7514210219058914,no
16,P1016,0.7523665845783057,0.5171508729371157,no
17,P1017,0.5364771182665522,0.06927944926248464,no
18,P1018,0.82936668462105,0.7163719918462695,no
19,P1019,0.7732730905642059,0.5239601304996961,no
20,P1020,0.7776952256558256,0.7095379832704798,no
21,P1021,0.8311752259398427,0.6859141251356995,no
22,P1022,0.729893651076019,0.6366818933255467,no
23,P1023,0.3917493789115747,0.14819345270219753,no
24,P1024,0.45797471379518184,0.6622203412783263,no
25,P1025,0.7293959921360578,0.45371898809208333,no
26,P1026,0.6842455692231544,0.5938330631372402,no
27,P1027,0.35287026669933674,0.022984368617262496,no
28,P1028,0.6700037413170308,0.5307087980502139,no
29,P1029,0.8740394610835769,0.6866522107005888,no
30,P1030,0.6119913432655721,0.5946145213553693,no
31,P1031,0.5625021003923945,0.5563286543308412,no
32,P1032,0.3934586812977443,0.632618609488946,no
33,P1034,0.6527857393807073,0.5401774747793845,no
34,P1036,1.3129101716913283e-07,6.7676439119424e-08,no
35,P1037,0.7389177946499226,0.691120273934209,no
36,P1038,0.07612911286882063,2.666663465600294e-07,no
37,P1039,1.1098779117979518e-08,1.2191404774597459e-08,no
38,P1040,0.4427611689537134,0.5181329446454643,no
39,P1042,0.1537342386032977,0.12548346729713977,no
40,P1045,0.5588529346121069,0.4181540735554242,no
