,product_name,Arima_SMAPE
0,P1000,0.7670714263906886
1,P1001,0.410768839878605
2,P1002,0.9015715332088773
3,P1003,0.5058256642693651
4,P1004,0.6344376827715855
5,P1005,0.6761887763933098
6,P1006,0.3106602891938629
7,P1007,0.4367027751875805
8,P1008,0.7517710065966525
9,P1009,0.24820456624278187
10,P1010,0.8209562586058967
11,P1011,0.7619978187459245
12,P1012,0.5257240302569436
13,P1013,0.7303227632255327
14,P1014,0.5573169179563735
15,P1015,0.7891393529221541
16,P1016,0.44958053225179173
17,P1017,0.7147258128152718
18,P1018,0.6855051651644861
19,P1019,0.6510478905853293
20,P1020,0.5516917116609432
21,P1021,0.7271268194256545
22,P1022,0.7632193109726557
23,P1023,0.50925218302944
24,P1024,0.43209534119723114
25,P1025,0.6227679525132096
26,P1026,0.7022485412111537
27,P1027,0.30266795571995886
28,P1028,0.8216402258262216
29,P1029,0.898235324359435
30,P1030,0.8060384174130962
31,P1031,0.5922246801232238
32,P1032,0.7651919838802632
33,P1034,0.6962999395461895
34,P1036,0.6674499313747673
35,P1037,0.6522200919741609
36,P1038,1.9607820067601978e-07
37,P1039,1.2191405329708971e-08
38,P1040,0.6261845250527197
39,P1042,0.22339811289475908
40,P1045,0.6258008731054142
41,P1046,2.3263542203721954e-08
42,P1047,0.29273694472702605
43,P1050,0.36804515795490866
44,P1054,0.000205012213047584
45,P1055,0.5205546271748775
46,P1063,0.0
47,P1104,0.026239708720393273
48,P1105,2.4999996295349547e-08
49,P1106,0.46034633850122
50,P1107,3.333326665799774e-07
51,P1108,0.75123381621839
52,P1109,0.3113576870444764
53,P1110,0.6047377182379636
54,P1111,0.5568898896000426
55,P1112,5.405404834846195e-08
56,P1114,0.4934415131236204
57,P1119,0.29248349299169196
58,P1120,0.0
59,P1124,0.35249007856652226
60,P1127,0.0
61,P1128,0.03266798647892599
62,P1130,0.3549093667605172
63,P1131,0.5799745080627182
64,P1132,0.5175354645616936
65,P1134,0.7155087883224052
66,P1135,0.768866420447077
67,P1136,0.8472412997139264
68,P1137,0.7684039822377617
69,P1139,0.8009900935555474
70,P1140,0.1028155686183525
71,P1141,0.6002059287813779
72,P1142,0.7195050207334039
73,P1143,0.30283722543393976
74,P1144,0.8141495481576069
75,P1145,0.8496018346263569
76,P1147,0.7490162447802525
77,P1148,0.3047555477410605
78,P1149,0.5477040479095352
79,P1150,0.5336830764418665
80,P1151,0.9031863272001402
81,P1152,0.7153132307283534
82,P1153,0.5753731365449336
83,P1154,0.7536626519362769
84,P1155,0.6775766412269755
85,P1156,0.7617989152160495
86,P1157,0.5627370420527813
87,P1158,0.5497755981328685
88,P1159,0.0
89,P1160,0.6719956864908614
90,P1161,1.9047617816347895e-08
91,P1162,0.0
92,P1163,0.15106441367831225
93,P1164,0.011553960140377906
94,P1166,0.6002355213838952
95,P1167,0.6789086187541704
96,P1170,0.9020462237487058
97,P1172,0.8241169962315024
98,P1174,0.8473161722129041
99,P1177,0.1338682268344532
100,P1179,0.836582509422056
101,P1180,0.6368070672889885
102,P1182,0.660331826052612
103,P1183,0.7992602527408628
104,P1185,0.40565716339710156
105,P1186,0.446656237118745
106,P1188,0.39251192351917785
107,P1191,0.26695896075594405
108,P1192,0.7617413465636422
109,P1202,0.20455773607634842
110,P1203,0.5558100147939506
111,P1204,0.45874726693658674
112,P1205,0.2733028661300061
113,P1206,0.23339769168982516
114,P1208,0.44502152983172827
115,P1209,0.48423361071343984
116,P1210,0.41455519147442277
117,P1211,0.2923493405459445
118,P1212,3.6363634325908833e-08
119,P1213,0.45322449625026706
120,P1214,0.4624404924439639
121,P1215,0.2236325445467896
122,P1216,0.5842605596796979
123,P1217,0.4796590528562644
124,P1218,0.7678337040040096
125,P1219,0.487268263369357
126,P1220,0.6071689833450543
127,P1221,0.8215586961558271
128,P1222,0.8046954924412599
129,P1224,0.8688601084677142
130,P1225,0.5222882383037852
131,P1226,3.174603069311388e-08
132,P1227,0.4974917016816476
133,P1228,0.6936337089370685
134,P1229,6.40597364043316e-09
135,P1230,0.6728525882453948
136,P1231,0.687085165753284
137,P1233,0.47223917022574746
138,P1234,0.4179211585436349
139,P1235,0.5677023103015139
140,P1236,0.3309054252092295
141,P1237,0.4638793154018793
142,P1239,0.5114597581474684
143,P1240,0.3250150306701379
144,P1241,0.6551838141900519
145,P1242,0.317471473386997
146,P1243,0.6927448251926617
147,P1244,0.7156230155499315
148,P1245,0.7071242970745396
149,P1246,0.1814516110537484
150,P1247,0.5327864688371606
151,P1248,0.7694441942197299
152,P1249,0.5932054627793353
153,P1250,0.5921238227422818
154,P1252,0.7240961831685988
155,P1253,0.29520419425173217
156,P1254,0.3516382647316625
157,P1255,0.5385606362386741
158,P1256,0.6390898737143557
159,P1257,0.4303073715508351
160,P1258,0.7153037634122454
161,P1259,0.008589792740418933
162,P1260,0.7386288855896981
163,P1261,0.004654927388370034
164,P1262,0.6928733596947514
165,P1263,0.7134561961783703
166,P1264,0.07733420591745921
167,P1265,8.695647657486205e-08
168,P1266,0.05029916288928138
